                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.6124,                 1.9211,                 2.1071,                0.59361,                0.53833,                0.59993,                0.37442,                 1.3523,                 1.7646,                 1.9653,             0.00017609,             0.00017609,             0.00017609
                     88,                  1.535,                 1.8612,                 2.0209,                0.57973,                0.59277,                0.62366,                0.38187,                 1.3588,                 1.7534,                 1.9518,             0.00016509,             0.00016509,             0.00016509
                     89,                  1.543,                 1.8555,                 2.0299,                0.58139,                0.64004,                 0.6307,                0.39275,                 1.3513,                 1.7185,                 1.9473,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.5307,                 1.8236,                 2.0107,                0.58048,                0.65217,                0.63961,                0.39571,                 1.3477,                  1.699,                 1.9489,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.4808,                 2.0664,                 2.0417,                0.60411,                0.65498,                0.65085,                0.40254,                 1.3362,                 1.6953,                 1.9373,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.4587,                 1.9503,                 2.0255,                 0.5983,                0.62046,                0.64529,                0.38546,                 1.3838,                 1.7574,                  1.957,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.4748,                 1.9147,                 2.0108,                0.54827,                0.59922,                0.60853,                0.35726,                 1.4366,                 1.8485,                 2.0012,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.4243,                 1.8908,                 1.9724,                0.56443,                0.56343,                0.60258,                0.35682,                  1.423,                 1.8692,                 1.9932,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.4721,                 1.9267,                 2.0141,                0.55281,                0.59755,                0.61287,                0.37595,                 1.3826,                  1.839,                  1.963,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.4394,                 1.8292,                 1.9919,                0.60373,                0.60752,                0.64281,                0.41148,                 1.3219,                 1.7592,                 1.9169,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.4313,                 1.8727,                 1.9954,                 0.5944,                0.61212,                0.65682,                0.42089,                 1.3062,                 1.7121,                 1.9027,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.4077,                 1.8007,                 1.9832,                0.63152,                0.60056,                0.66635,                0.42682,                 1.3051,                 1.6844,                 1.8976,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.4049,                 1.7763,                 1.9852,                0.66261,                 0.6081,                0.67615,                0.43169,                 1.3039,                 1.6627,                  1.894,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.3694,                 1.7647,                 1.9496,                0.65907,                0.63577,                0.68626,                0.43726,                 1.2964,                 1.6429,                 1.8879,             3.3108e-05,             3.3108e-05,             3.3108e-05
